"row_id","x","y","z","size","color","category","tooltip","date","nodeName"
"1","2.7471","43.095","35.6362","5.05","3.95","Segment-01","Node 001 on 2025-01-01 | row 1","2025-01-01","Node-001"
"2","5.8733","43.8702","38.248","6.1","8.75","Segment-02","Node 002 on 2025-01-02 | row 2","2025-01-02","Node-002"
"3","8.9976","44.5955","40.8306","7.15","13.55","Segment-03","Node 003 on 2025-01-03 | row 3","2025-01-03","Node-003"
"4","12.1191","45.2711","43.3792","8.2","18.35","Segment-04","Node 004 on 2025-01-04 | row 4","2025-01-04","Node-004"
"5","15.2368","45.8973","45.8892","9.25","23.15","Segment-05","Node 005 on 2025-01-05 | row 5","2025-01-05","Node-005"
"6","18.3497","46.4743","48.356","10.3","27.95","Segment-06","Node 006 on 2025-01-06 | row 6","2025-01-06","Node-006"
"7","21.457","47.0024","50.7749","11.35","17.7","Segment-07","Node 007 on 2025-01-07 | row 7","2025-01-07","Node-007"
"8","24.5577","47.482","53.1416","12.4","22.5","Segment-08","Node 008 on 2025-01-08 | row 8","2025-01-08","Node-008"
"9","27.6509","47.9136","55.4517","9.85","27.3","Segment-09","Node 009 on 2025-01-09 | row 9","2025-01-09","Node-009"
"10","30.7356","48.2976","57.7009","10.9","32.1","Segment-10","Node 010 on 2025-01-10 | row 10","2025-01-10","Node-010"
"11","33.811","48.6346","59.8851","11.95","17.1","Segment-11","Node 011 on 2025-01-11 | row 11","2025-01-11","Node-011"
"12","36.8761","48.9253","62.0005","13","21.9","Segment-12","Node 012 on 2025-01-12 | row 12","2025-01-12","Node-012"
"13","39.93","49.1702","64.043","14.05","26.7","Segment-01","Node 013 on 2025-01-13 | row 13","2025-01-13","Node-013"
"14","42.9719","49.3701","66.0092","15.1","16.45","Segment-02","Node 014 on 2025-01-14 | row 14","2025-01-14","Node-014"
"15","46.0008","49.5258","67.8954","16.15","21.25","Segment-03","Node 015 on 2025-01-15 | row 15","2025-01-15","Node-015"
"16","49.0159","49.6381","69.6985","17.2","26.05","Segment-04","Node 016 on 2025-01-16 | row 16","2025-01-16","Node-016"
"17","27.3663","49.7079","71.4152","7.2","30.85","Segment-05","Node 017 on 2025-01-17 | row 17","2025-01-17","Node-017"
"18","30.3511","49.7361","73.0426","4.65","35.65","Segment-06","Node 018 on 2025-01-18 | row 18","2025-01-18","Node-018"
"19","33.3196","49.7236","74.5781","5.7","40.45","Segment-07","Node 019 on 2025-01-19 | row 19","2025-01-19","Node-019"
"20","36.2708","49.6715","76.0191","6.75","45.25","Segment-08","Node 020 on 2025-01-20 | row 20","2025-01-20","Node-020"
"21","39.204","49.581","77.3634","7.8","35","Segment-09","Node 021 on 2025-01-21 | row 21","2025-01-21","Node-021"
"22","42.1183","49.453","78.6088","8.85","20","Segment-10","Node 022 on 2025-01-22 | row 22","2025-01-22","Node-022"
"23","45.013","23.5288","79.7538","9.9","24.8","Segment-11","Node 023 on 2025-01-23 | row 23","2025-01-23","Node-023"
"24","47.8873","23.3295","80.7965","10.95","29.6","Segment-12","Node 024 on 2025-01-24 | row 24","2025-01-24","Node-024"
"25","50.7404","23.0965","81.7358","12","34.4","Segment-01","Node 025 on 2025-01-25 | row 25","2025-01-25","Node-025"
"26","53.5716","22.8309","82.5706","13.05","39.2","Segment-02","Node 026 on 2025-01-26 | row 26","2025-01-26","Node-026"
"27","56.3801","22.5342","83.3","10.5","44","Segment-03","Node 027 on 2025-01-27 | row 27","2025-01-27","Node-027"
"28","59.1652","22.2076","83.9236","11.55","33.75","Segment-04","Node 028 on 2025-01-28 | row 28","2025-01-28","Node-028"
"29","61.9263","21.8527","84.4409","12.6","38.55","Segment-05","Node 029 on 2025-01-29 | row 29","2025-01-29","Node-029"
"30","53.6426","21.4708","84.8521","13.65","43.35","Segment-06","Node 030 on 2025-01-30 | row 30","2025-01-30","Node-030"
"31","56.3535","21.0633","56.9472","14.7","48.15","Segment-07","Node 031 on 2025-01-31 | row 31","2025-01-31","Node-031"
"32","59.0384","29.0019","57.1468","15.75","52.95","Segment-08","Node 032 on 2025-02-01 | row 32","2025-02-01","Node-032"
"33","61.6965","28.5479","57.2417","16.8","37.95","Segment-09","Node 033 on 2025-02-02 | row 33","2025-02-02","Node-033"
"34","39.6774","28.073","57.2328","6.8","42.75","Segment-10","Node 034 on 2025-02-03 | row 34","2025-02-03","Node-034"
"35","42.2804","27.5787","57.1215","7.85","32.5","Segment-11","Node 035 on 2025-02-04 | row 35","2025-02-04","Node-035"
"36","44.855","27.0666","56.9092","5.3","37.3","Segment-12","Node 036 on 2025-02-05 | row 36","2025-02-05","Node-036"
"37","47.4006","26.5384","56.5977","6.35","42.1","Segment-01","Node 037 on 2025-02-06 | row 37","2025-02-06","Node-037"
"38","49.9167","25.9957","56.1891","7.4","46.9","Segment-02","Node 038 on 2025-02-07 | row 38","2025-02-07","Node-038"
"39","52.4028","25.4401","55.6856","8.45","51.7","Segment-03","Node 039 on 2025-02-08 | row 39","2025-02-08","Node-039"
"40","54.8584","24.8734","55.0897","9.5","56.5","Segment-04","Node 040 on 2025-02-09 | row 40","2025-02-09","Node-040"
"41","57.2831","24.2971","54.4042","10.55","61.3","Segment-05","Node 041 on 2025-02-10 | row 41","2025-02-10","Node-041"
"42","59.6764","23.713","53.6319","11.6","51.05","Segment-06","Node 042 on 2025-02-11 | row 42","2025-02-11","Node-042"
"43","62.0379","23.1228","52.7762","12.65","55.85","Segment-07","Node 043 on 2025-02-12 | row 43","2025-02-12","Node-043"
